Local authority,Library name,Event date,Name,Main outcome,Secondary outcome,Attendees,Adult Attendees,Child Attendees,Charge
Barnet,Childs Hill,2019-05-30,Reading Group Adult,Healthier and happier lives,Stronger more resilient communities,1,1,0,0.0
Barnet,Chipping Barnet,2019-05-30,Other Child 5+ - Paint Your Selfie!,Healthier and happier lives,Stronger more resilient communities,15,0,15,3.5
Barnet,Colindale,2019-05-30,"Other Early Years - Oral Health for under
fives:",Cultural and creative enrichment,Stronger more resilient communities,12,6,6,0.0
Barnet,Colindale,2019-05-30,Reading Group Adult,Healthier and happier lives,Stronger more resilient communities,7,7,0,0.0
Barnet,Colindale,2019-05-30,"Other adult - Introduction to
Mindfulness",Healthier and happier lives,Stronger more resilient communities,9,9,0,0.0
Barnet,East Barnet,2019-05-30,Reading Group Adult,Healthier and happier lives,Stronger more resilient communities,4,4,0,0.0
Barnet,North Finchley,2019-05-30,Toddler Read and Rhyme,Helping everyone achieve their full potential,Increased reading and literacy,35,17,18,0.0
Barnet,South Friern,2019-05-30,Other adult - Age UK,Healthier and happier lives,Stronger more resilient communities,7,7,0,0.0
Barnet,Chipping Barnet,2019-05-31,"Other Child 5+ - Shake, Recycle and
Roll:",Healthier and happier lives,Stronger more resilient communities,37,17,20,0.0
Barnet,Hendon,2019-05-31,Class Visits Primary,Increased reading and literacy,Stronger more resilient communities,20,2,18,0.0
Barnet,Colindale,2019-06-01,Other Early Years - Dad's Rhyme Time,Healthier and happier lives,Stronger more resilient communities,36,23,13,0.0
Barnet,Colindale,2019-06-01,Advice/Surgery,Helping everyone achieve their full potential,Stronger more resilient communities,2,2,0,0.0
Barnet,Mill Hill,2019-06-01,IT,Increased digital access and literacy,Stronger more resilient communities,2,2,0,0.0
Barnet,South Friern,2019-06-01,Knit & Natter/Crafts/Sewing,Healthier and happier lives,,3,0,3,0.0
Barnet,Burnt Oak,2019-06-03,Conversation Café/Language Session,Healthier and happier lives,Stronger more resilient communities,4,4,0,0.0
Barnet,Burnt Oak,2019-06-03,Coffee morning/Afternoon tea,Healthier and happier lives,Stronger more resilient communities,12,12,0,0.0
Barnet,Chipping Barnet,2019-06-03,Creative Play,Cultural and creative enrichment,Stronger more resilient communities,40,20,20,0.0
Barnet,Chipping Barnet,2019-06-03,Baby Bounce and Play,Healthier and happier lives,Stronger more resilient communities,42,21,21,0.0
Barnet,East Finchley,2019-06-03,Baby Rhyme Time,Healthier and happier lives,Stronger more resilient communities,10,5,5,0.0
Barnet,East Finchley,2019-06-03,Toddler Read and Rhyme,Helping everyone achieve their full potential,Increased reading and literacy,26,12,14,0.0
Barnet,East Finchley,2019-06-03,Reading Group Adult,Healthier and happier lives,Stronger more resilient communities,4,4,0,0.0
Barnet,Edgware,2019-06-03,Baby Rhyme Time,Healthier and happier lives,Stronger more resilient communities,24,12,12,0.0
Barnet,Edgware,2019-06-03,Toddler Read and Rhyme,Helping everyone achieve their full potential,Increased reading and literacy,16,8,8,0.0
Barnet,Finchley Church End,2019-06-03,IT,Increased digital access and literacy,Stronger more resilient communities,2,2,0,0.0
Barnet,Outreach Location,2019-06-03,Advice/Surgery,Helping everyone achieve their full potential,Stronger more resilient communities,18,18,0,0.0
Barnet,South Friern,2019-06-03,Toddler Read and Rhyme,Helping everyone achieve their full potential,Increased reading and literacy,22,11,11,0.0
Barnet,South Friern,2019-06-03,Baby Rhyme Time,Healthier and happier lives,Stronger more resilient communities,36,18,18,0.0
Barnet,Childs Hill,2019-06-04,Other Child 5+ - Gardening for Children,Healthier and happier lives,Stronger more resilient communities,9,3,6,0.0
Barnet,Childs Hill,2019-06-04,Knit & Natter/Crafts/Sewing,Healthier and happier lives,,2,2,0,0.0
Barnet,Childs Hill,2019-06-04,IT,Increased digital access and literacy,Stronger more resilient communities,3,3,0,0.0
Barnet,Chipping Barnet,2019-06-04,Baby Rhyme Time,Healthier and happier lives,Stronger more resilient communities,31,13,18,0.0
Barnet,Colindale,2019-06-04,Baby Rhyme Time,Healthier and happier lives,Stronger more resilient communities,26,13,13,0.0
Barnet,Colindale,2019-06-04,"Other Child 5+ - YOL: ‘Introduction to learning the Cello by Dr Oliver Gledhill”,  Followed by a performance of music by Handel and Bach",Healthier and happier lives,Stronger more resilient communities,51,30,21,0.0
Barnet,Colindale,2019-06-04,Advice/Surgery,Helping everyone achieve their full potential,Stronger more resilient communities,6,6,0,0.0
Barnet,East Barnet,2019-06-04,Baby Rhyme Time,Healthier and happier lives,Stronger more resilient communities,30,15,15,0.0
Barnet,East Barnet,2019-06-04,Toddler Read and Rhyme,Helping everyone achieve their full potential,Increased reading and literacy,32,16,16,0.0
Barnet,Finchley Church End,2019-06-04,Other Early Years - let's make music,Healthier and happier lives,Stronger more resilient communities,39,15,24,0.0
Barnet,Finchley Church End,2019-06-04,Other Early Years - let's make music,Healthier and happier lives,Stronger more resilient communities,60,30,30,0.0
Barnet,Hendon,2019-06-04,Conversation Café/Language Session,Healthier and happier lives,Stronger more resilient communities,6,6,0,0.0
Barnet,North Finchley,2019-06-04,Reading Group Adult,Healthier and happier lives,Stronger more resilient communities,6,6,0,0.0
Barnet,Osidge,2019-06-04,Reading Group Adult,Healthier and happier lives,Stronger more resilient communities,5,5,0,0.0
Barnet,Burnt Oak,2019-06-05,Toddler Read and Rhyme,Helping everyone achieve their full potential,Increased reading and literacy,32,16,16,0.0
Barnet,Childs Hill,2019-06-05,Baby Rhyme Time,Healthier and happier lives,Stronger more resilient communities,8,4,4,0.0
Barnet,Childs Hill,2019-06-05,Toddler Read and Rhyme,Helping everyone achieve their full potential,Increased reading and literacy,14,7,7,0.0
Barnet,Childs Hill,2019-06-05,Lego,Healthier and happier lives,,27,10,17,0.0
Barnet,Chipping Barnet,2019-06-05,Other adult - Hogcallin’,Cultural and creative enrichment,Healthier and happier lives,9,9,0,3.5
Barnet,Colindale,2019-06-05,Baby Bounce and Play,Healthier and happier lives,Stronger more resilient communities,38,19,19,3.5
Barnet,Colindale,2019-06-05,Toddler Time,Helping everyone achieve their full potential,Increased reading and literacy,19,9,10,3.5
Barnet,Finchley Church End,2019-06-05,Scrabble,Healthier and happier lives,Stronger more resilient communities,6,6,0,0.0
Barnet,Finchley Church End,2019-06-05,Reading Group Adult,Healthier and happier lives,Stronger more resilient communities,14,14,0,0.0
Barnet,Hendon,2019-06-05,Toddler Read and Rhyme,Helping everyone achieve their full potential,Increased reading and literacy,10,5,5,0.0
Barnet,Mill Hill,2019-06-05,Baby Rhyme Time,Healthier and happier lives,Stronger more resilient communities,40,20,20,0.0
Barnet,Mill Hill,2019-06-05,Conversation Café/Language Session,Healthier and happier lives,Stronger more resilient communities,10,10,0,0.0
Barnet,Osidge,2019-06-05,Toddler Read and Rhyme,Helping everyone achieve their full potential,Increased reading and literacy,9,4,5,0.0
Barnet,Osidge,2019-06-05,IT,Increased digital access and literacy,Stronger more resilient communities,1,1,0,0.0
Barnet,South Friern,2019-06-05,Baby Rhyme Time,Healthier and happier lives,Stronger more resilient communities,14,6,8,0.0
Barnet,South Friern,2019-06-05,Toddler Read and Rhyme,Helping everyone achieve their full potential,Increased reading and literacy,18,9,9,0.0
Barnet,Childs Hill,2019-06-06,Conversation Café/Language Session,Healthier and happier lives,Stronger more resilient communities,2,2,0,0.0
Barnet,Childs Hill,2019-06-06,Reading Group Adult,Healthier and happier lives,Stronger more resilient communities,5,5,0,0.0
Barnet,Colindale,2019-06-06,Toddler Read and Rhyme,Helping everyone achieve their full potential,Increased reading and literacy,24,11,13,0.0
Barnet,Edgware,2019-06-06,Coffee morning/Afternoon tea,Healthier and happier lives,Stronger more resilient communities,17,17,0,0.0
Barnet,Edgware,2019-06-06,Other Early Years - Let's make music,Healthier and happier lives,Stronger more resilient communities,44,25,19,0.0
Barnet,Edgware,2019-06-06,Other Early Years - Let's make music,Healthier and happier lives,Stronger more resilient communities,76,36,40,0.0
Barnet,Edgware,2019-06-06,Conversation Café/Language Session,Healthier and happier lives,Stronger more resilient communities,3,3,0,0.0
Barnet,Edgware,2019-06-06,Other Child 5+ - A talk about the library service and the SRC delivered to Hendon Beaver group,Healthier and happier lives,Stronger more resilient communities,24,4,20,0.0
Barnet,Mill Hill,2019-06-06,Other adult - English Level 2/3 lesson,Helping everyone achieve their full potential,Stronger more resilient communities,10,10,0,0.0
Barnet,Mill Hill,2019-06-06,Other adult - Over 50's Coffee Morning,Healthier and happier lives,Stronger more resilient communities,8,8,0,0.0
Barnet,North Finchley,2019-06-06,Toddler Read and Rhyme,Helping everyone achieve their full potential,Increased reading and literacy,45,20,25,0.0
Barnet,Osidge,2019-06-06,Class Visits Primary,Increased reading and literacy,Stronger more resilient communities,33,3,30,0.0
Barnet,South Friern,2019-06-06,Other adult - Age UK,Healthier and happier lives,Stronger more resilient communities,6,6,0,0.0
Barnet,Chipping Barnet,2019-06-07,Class Visits Primary,Increased reading and literacy,Stronger more resilient communities,100,10,90,0.0
Barnet,Finchley Church End,2019-06-07,Advice/Surgery,Helping everyone achieve their full potential,Stronger more resilient communities,7,7,0,0.0
Barnet,Finchley Church End,2019-06-07,Toddler Read and Rhyme,Helping everyone achieve their full potential,Increased reading and literacy,27,12,15,0.0
Barnet,Golders Green,2019-06-07,Toddler Read and Rhyme,Helping everyone achieve their full potential,Increased reading and literacy,20,9,11,0.0
Barnet,Hendon,2019-06-07,Class Visits Primary,Increased reading and literacy,Stronger more resilient communities,20,2,18,0.0
Barnet,Hendon,2019-06-07,Other Child 5+,Healthier and happier lives,Stronger more resilient communities,11,4,7,0.0
Barnet,Chipping Barnet,2019-06-08,"Other Child 5+ - How to Music with Hidè Takemoto, guitarist/composer ",Healthier and happier lives,Stronger more resilient communities,16,10,6,0.0
Barnet,Colindale,2019-06-08,Advice/Surgery,Helping everyone achieve their full potential,Stronger more resilient communities,6,6,0,0.0
Barnet,Colindale,2019-06-08,Lego,Healthier and happier lives,,9,3,6,0.0
Barnet,Edgware,2019-06-08,IT,Increased digital access and literacy,Stronger more resilient communities,3,3,0,0.0
Barnet,North Finchley,2019-06-08,Lego,Healthier and happier lives,,6,2,4,0.0
Barnet,South Friern,2019-06-08,Knit & Natter/Crafts/Sewing,Healthier and happier lives,,4,0,4,0.0
Barnet,Burnt Oak,2019-06-10,Coffee morning/Afternoon tea,Healthier and happier lives,Stronger more resilient communities,12,12,0,0.0
Barnet,Burnt Oak,2019-06-10,Conversation Café/Language Session,Healthier and happier lives,Stronger more resilient communities,6,6,0,0.0
Barnet,Chipping Barnet,2019-06-10,Baby Bounce and Play,Healthier and happier lives,Stronger more resilient communities,32,16,16,3.5
Barnet,Chipping Barnet,2019-06-10,Creative Play,Cultural and creative enrichment,Stronger more resilient communities,44,22,22,5.5
Barnet,East Finchley,2019-06-10,Toddler Read and Rhyme,Helping everyone achieve their full potential,Increased reading and literacy,24,11,13,0.0
Barnet,East Finchley,2019-06-10,Baby Rhyme Time,Healthier and happier lives,Stronger more resilient communities,10,5,5,0.0
Barnet,Edgware,2019-06-10,Baby Rhyme Time,Healthier and happier lives,Stronger more resilient communities,13,6,7,0.0
Barnet,Edgware,2019-06-10,Toddler Read and Rhyme,Helping everyone achieve their full potential,Increased reading and literacy,6,3,3,0.0
Barnet,Finchley Church End,2019-06-10,IT,Increased digital access and literacy,Stronger more resilient communities,2,2,0,0.0
Barnet,Hendon,2019-06-10,Other adult - Guitar Workshop,Cultural and creative enrichment,Helping everyone achieve their full potential,7,7,0,0.0
Barnet,Burnt Oak,2019-06-11,Reading Group Adult,Healthier and happier lives,Stronger more resilient communities,12,12,0,0.0
Barnet,Childs Hill,2019-06-11,Other Child 5+ - Gardening for Children,Healthier and happier lives,Stronger more resilient communities,19,6,13,0.0
Barnet,Childs Hill,2019-06-11,IT,Increased digital access and literacy,Stronger more resilient communities,4,4,0,0.0
Barnet,Chipping Barnet,2019-06-11,Baby Rhyme Time,Healthier and happier lives,Stronger more resilient communities,32,14,18,0.0
Barnet,Colindale,2019-06-11,Baby Rhyme Time,Healthier and happier lives,Stronger more resilient communities,41,20,21,0.0
Barnet,Colindale,2019-06-11,Other adult - Age UK: Gentle exercise for 55+,Healthier and happier lives,Stronger more resilient communities,10,10,0,0.0
Barnet,Colindale,2019-06-11,IT,Increased digital access and literacy,Stronger more resilient communities,5,5,0,0.0
Barnet,Colindale,2019-06-11,Conversation Café/Language Session,Healthier and happier lives,Stronger more resilient communities,11,8,3,0.0
Barnet,East Barnet,2019-06-11,Toddler Read and Rhyme,Helping everyone achieve their full potential,Increased reading and literacy,40,20,20,0.0
Barnet,East Barnet,2019-06-11,Baby Rhyme Time,Healthier and happier lives,Stronger more resilient communities,34,17,17,0.0
Barnet,Finchley Church End,2019-06-11,Toddler Time,Helping everyone achieve their full potential,Increased reading and literacy,37,17,20,3.5
Barnet,Finchley Church End,2019-06-11,Baby Bounce and Play,Healthier and happier lives,Stronger more resilient communities,23,11,12,3.5
Barnet,Golders Green,2019-06-11,Reading Group Adult,Healthier and happier lives,Stronger more resilient communities,5,5,0,0.0
Barnet,Hendon,2019-06-11,IT,Increased digital access and literacy,Stronger more resilient communities,7,7,0,0.0
Barnet,Hendon,2019-06-11,Conversation Café/Language Session,Healthier and happier lives,Stronger more resilient communities,5,5,0,0.0
Barnet,Mill Hill,2019-06-11,Reading Group Adult,Healthier and happier lives,Stronger more resilient communities,10,10,0,0.0
Barnet,Osidge,2019-06-11,Class Visits Primary,Increased reading and literacy,Stronger more resilient communities,33,3,30,0.0
Barnet,Burnt Oak,2019-06-12,Toddler Read and Rhyme,Helping everyone achieve their full potential,Increased reading and literacy,32,15,17,0.0
Barnet,Childs Hill,2019-06-12,Toddler Read and Rhyme,Helping everyone achieve their full potential,Increased reading and literacy,21,10,11,0.0
Barnet,Childs Hill,2019-06-12,Lego,Healthier and happier lives,,10,2,8,0.0
Barnet,Childs Hill,2019-06-12,Baby Rhyme Time,Healthier and happier lives,Stronger more resilient communities,4,2,2,0.0
Barnet,Chipping Barnet,2019-06-12,"Other adult - How to Music with Hidè Takemoto, guitarist/composer ",Cultural and creative enrichment,Stronger more resilient communities,5,5,0,3.5
Barnet,Colindale,2019-06-12,Toddler Time,Helping everyone achieve their full potential,Increased reading and literacy,25,11,14,3.5
Barnet,Colindale,2019-06-12,Baby Bounce and Play,Healthier and happier lives,Stronger more resilient communities,27,13,14,3.5
Barnet,Colindale,2019-06-12,IT,Increased digital access and literacy,Stronger more resilient communities,6,6,0,0.0
Barnet,Finchley Church End,2019-06-12,Reading Group Adult,Healthier and happier lives,Stronger more resilient communities,15,15,0,0.0
Barnet,Finchley Church End,2019-06-12,Scrabble,Healthier and happier lives,Stronger more resilient communities,7,7,0,0.0
Barnet,Hendon,2019-06-12,Toddler Read and Rhyme,Helping everyone achieve their full potential,Increased reading and literacy,6,3,3,0.0
Barnet,Hendon,2019-06-12,Reading Group Adult,Healthier and happier lives,Stronger more resilient communities,0,0,0,0.0
Barnet,Mill Hill,2019-06-12,Conversation Café/Language Session,Healthier and happier lives,Stronger more resilient communities,10,10,0,0.0
Barnet,Mill Hill,2019-06-12,Baby Rhyme Time,Healthier and happier lives,Stronger more resilient communities,20,10,10,0.0
Barnet,Osidge,2019-06-12,Toddler Read and Rhyme,Helping everyone achieve their full potential,Increased reading and literacy,10,5,5,0.0
Barnet,Osidge,2019-06-12,Toddler Read and Rhyme,Helping everyone achieve their full potential,Increased reading and literacy,10,5,5,0.0
Barnet,South Friern,2019-06-12,Toddler Read and Rhyme,Helping everyone achieve their full potential,Increased reading and literacy,17,8,9,0.0
Barnet,South Friern,2019-06-12,Baby Rhyme Time,Healthier and happier lives,Stronger more resilient communities,19,8,11,0.0
Barnet,Childs Hill,2019-06-13,Reading Group Adult,Healthier and happier lives,Stronger more resilient communities,3,3,0,0.0
Barnet,Childs Hill,2019-06-13,Conversation Café/Language Session,Healthier and happier lives,Stronger more resilient communities,1,1,0,0.0
Barnet,Colindale,2019-06-13,Toddler Read and Rhyme,Helping everyone achieve their full potential,Increased reading and literacy,19,9,10,0.0
Barnet,Colindale,2019-06-13,Reading Group Adult,Healthier and happier lives,Stronger more resilient communities,8,8,0,0.0
Barnet,Edgware,2019-06-13,Toddler Time,Helping everyone achieve their full potential,Increased reading and literacy,30,14,16,3.5
Barnet,Edgware,2019-06-13,Baby Bounce and Play,Healthier and happier lives,Stronger more resilient communities,23,12,11,3.5
Barnet,Mill Hill,2019-06-13,Other adult - English Level 2/3 lesson,Helping everyone achieve their full potential,Greater prosperity,10,10,0,0.0
Barnet,Mill Hill,2019-06-13,Other adult - Over 50's Coffee Morning,Healthier and happier lives,Stronger more resilient communities,9,9,0,0.0
Barnet,North Finchley,2019-06-13,Toddler Read and Rhyme,Helping everyone achieve their full potential,Increased reading and literacy,20,10,10,0.0
Barnet,Osidge,2019-06-13,Class Visits Primary,Increased reading and literacy,Stronger more resilient communities,33,3,30,0.0
Barnet,Outreach Location,2019-06-13,Other Child 5+ - Carnegie Shadowing,Healthier and happier lives,Stronger more resilient communities,104,14,90,0.0
Barnet,South Friern,2019-06-13,Other adult - Age UK,Healthier and happier lives,Stronger more resilient communities,6,6,0,0.0
Barnet,Finchley Church End,2019-06-14,Class Visits Primary,Increased reading and literacy,Stronger more resilient communities,15,3,12,0.0
Barnet,Finchley Church End,2019-06-14,Advice/Surgery,Helping everyone achieve their full potential,Stronger more resilient communities,4,4,0,0.0
Barnet,Finchley Church End,2019-06-14,Toddler Read and Rhyme,Helping everyone achieve their full potential,Increased reading and literacy,26,12,14,0.0
Barnet,Golders Green,2019-06-14,Toddler Read and Rhyme,Helping everyone achieve their full potential,Increased reading and literacy,13,7,6,0.0
Barnet,Hendon,2019-06-14,Other Child 5+ - Games Hour,Healthier and happier lives,Stronger more resilient communities,5,2,3,0.0
Barnet,Hendon,2019-06-14,Class Visits Primary,Increased reading and literacy,Stronger more resilient communities,20,2,18,0.0
Barnet,Hendon,2019-06-14,IT,Increased digital access and literacy,Stronger more resilient communities,7,7,0,0.0
Barnet,Colindale,2019-06-15,Advice/Surgery,Helping everyone achieve their full potential,Stronger more resilient communities,2,2,0,0.0
Barnet,Colindale,2019-06-15,Lego,Healthier and happier lives,,7,3,4,0.0
Barnet,Edgware,2019-06-15,IT,Increased digital access and literacy,Stronger more resilient communities,2,2,0,0.0
Barnet,South Friern,2019-06-15,Knit & Natter/Crafts/Sewing,Healthier and happier lives,,3,0,3,0.0
Barnet,Burnt Oak,2019-06-17,Coffee morning/Afternoon tea,Healthier and happier lives,Stronger more resilient communities,10,10,0,0.0
Barnet,Burnt Oak,2019-06-17,Conversation Café/Language Session,Healthier and happier lives,Stronger more resilient communities,7,7,0,0.0
Barnet,Chipping Barnet,2019-06-17,Creative Play,Cultural and creative enrichment,Stronger more resilient communities,44,21,23,5.5
Barnet,Chipping Barnet,2019-06-17,Baby Bounce and Play,Healthier and happier lives,Stronger more resilient communities,32,16,16,3.5
Barnet,East Finchley,2019-06-17,Toddler Read and Rhyme,Helping everyone achieve their full potential,Increased reading and literacy,22,10,12,0.0
Barnet,East Finchley,2019-06-17,Baby Rhyme Time,Healthier and happier lives,Stronger more resilient communities,10,5,5,0.0
Barnet,Finchley Church End,2019-06-17,IT,Increased digital access and literacy,Stronger more resilient communities,2,2,0,0.0
Barnet,Burnt Oak,2019-06-18,Reading Group Adult,Healthier and happier lives,Stronger more resilient communities,11,11,0,0.0
Barnet,Childs Hill,2019-06-18,Other Child 5+ - Gardening for Children,Healthier and happier lives,Stronger more resilient communities,11,4,7,0.0
Barnet,Childs Hill,2019-06-18,Knit & Natter/Crafts/Sewing,Healthier and happier lives,,2,2,0,0.0
Barnet,Childs Hill,2019-06-18,IT,Increased digital access and literacy,Stronger more resilient communities,6,6,0,0.0
Barnet,Chipping Barnet,2019-06-18,Baby Rhyme Time,Healthier and happier lives,Stronger more resilient communities,38,18,20,0.0
Barnet,Colindale,2019-06-18,Other Early Years - Let's Sing,Healthier and happier lives,Stronger more resilient communities,49,23,26,0.0
Barnet,Colindale,2019-06-18,Conversation Café/Language Session,Healthier and happier lives,Stronger more resilient communities,9,8,1,0.0
Barnet,Colindale,2019-06-18,IT,Increased digital access and literacy,Stronger more resilient communities,7,7,0,0.0
Barnet,Colindale,2019-06-18,Other adult - Age UK: Gentle Exercise for 55+,Healthier and happier lives,Stronger more resilient communities,9,9,0,0.0
Barnet,East Barnet,2019-06-18,Toddler Read and Rhyme,Helping everyone achieve their full potential,Increased reading and literacy,34,17,17,0.0
Barnet,East Barnet,2019-06-18,Baby Rhyme Time,Healthier and happier lives,Stronger more resilient communities,34,17,17,0.0
Barnet,Finchley Church End,2019-06-18,Baby Bounce and Play,Healthier and happier lives,Stronger more resilient communities,20,10,10,3.5
Barnet,Finchley Church End,2019-06-18,Toddler Time,Helping everyone achieve their full potential,Increased reading and literacy,36,17,19,3.5
Barnet,Hendon,2019-06-18,Conversation Café/Language Session,Healthier and happier lives,Stronger more resilient communities,6,6,0,0.0
Barnet,Hendon,2019-06-18,IT,Increased digital access and literacy,Stronger more resilient communities,7,7,0,0.0
Barnet,Osidge,2019-06-18,Class Visits Primary,Increased reading and literacy,Stronger more resilient communities,33,3,30,0.0
Barnet,South Friern,2019-06-18,Reading Group Adult,Healthier and happier lives,Stronger more resilient communities,2,2,0,0.0
Barnet,Burnt Oak,2019-06-19,Toddler Read and Rhyme,Helping everyone achieve their full potential,Increased reading and literacy,32,16,16,0.0
Barnet,Childs Hill,2019-06-19,Lego,Healthier and happier lives,,30,10,20,0.0
Barnet,Childs Hill,2019-06-19,Baby Rhyme Time,Healthier and happier lives,Stronger more resilient communities,7,3,4,0.0
Barnet,Childs Hill,2019-06-19,Toddler Read and Rhyme,Helping everyone achieve their full potential,Increased reading and literacy,13,6,7,0.0
Barnet,Colindale,2019-06-19,Toddler Time,Helping everyone achieve their full potential,Increased reading and literacy,21,9,12,3.5
Barnet,Colindale,2019-06-19,Baby Bounce and Play,Healthier and happier lives,Stronger more resilient communities,30,15,15,3.5
Barnet,Colindale,2019-06-19,IT,Increased digital access and literacy,Stronger more resilient communities,7,7,0,0.0
Barnet,Colindale,2019-06-19,Other adult - Age UK: Over 55s Gentle Tai Chi,Healthier and happier lives,Stronger more resilient communities,8,8,0,0.0
Barnet,Finchley Church End,2019-06-19,Scrabble,Healthier and happier lives,Stronger more resilient communities,6,6,0,0.0
Barnet,Finchley Church End,2019-06-19,Reading Group Adult,Healthier and happier lives,Stronger more resilient communities,13,13,0,0.0
Barnet,Hendon,2019-06-19,Toddler Read and Rhyme,Helping everyone achieve their full potential,Increased reading and literacy,14,7,7,0.0
Barnet,Mill Hill,2019-06-19,Baby Rhyme Time,Healthier and happier lives,Stronger more resilient communities,30,15,15,0.0
Barnet,Mill Hill,2019-06-19,Conversation Café/Language Session,Healthier and happier lives,Stronger more resilient communities,10,10,0,0.0
Barnet,Osidge,2019-06-19,Toddler Read and Rhyme,Helping everyone achieve their full potential,Increased reading and literacy,19,10,9,0.0
Barnet,South Friern,2019-06-19,Baby Rhyme Time,Healthier and happier lives,Stronger more resilient communities,23,11,12,0.0
Barnet,South Friern,2019-06-19,Toddler Read and Rhyme,Helping everyone achieve their full potential,Increased reading and literacy,30,10,20,0.0
Barnet,Childs Hill,2019-06-20,Reading Group Adult,Healthier and happier lives,Stronger more resilient communities,3,3,0,0.0
Barnet,Childs Hill,2019-06-20,Conversation Café/Language Session,Healthier and happier lives,Stronger more resilient communities,3,3,0,0.0
Barnet,Colindale,2019-06-20,Toddler Read and Rhyme,Helping everyone achieve their full potential,Increased reading and literacy,39,18,21,0.0
Barnet,Colindale,2019-06-20,Reading Group Adult,Healthier and happier lives,Stronger more resilient communities,10,10,0,0.0
Barnet,Edgware,2019-06-20,Toddler Time,Helping everyone achieve their full potential,Increased reading and literacy,30,15,15,3.5
Barnet,Edgware,2019-06-20,Baby Bounce and Play,Healthier and happier lives,Stronger more resilient communities,36,18,18,3.5
Barnet,Mill Hill,2019-06-20,Other adult - English Level 2/3 lesson,Helping everyone achieve their full potential,Greater prosperity,10,10,0,0.0
Barnet,Mill Hill,2019-06-20,Other adult - Over 50's Coffee Morning,Healthier and happier lives,Stronger more resilient communities,9,9,0,0.0
Barnet,North Finchley,2019-06-20,Toddler Read and Rhyme,Helping everyone achieve their full potential,Increased reading and literacy,29,14,15,0.0
Barnet,Osidge,2019-06-20,Class Visits Primary,Increased reading and literacy,Stronger more resilient communities,33,3,30,0.0
Barnet,South Friern,2019-06-20,Other adult - Age UK,Healthier and happier lives,Stronger more resilient communities,5,5,0,0.0
Barnet,Finchley Church End,2019-06-21,Advice/Surgery,Helping everyone achieve their full potential,Stronger more resilient communities,5,5,0,0.0
Barnet,Finchley Church End,2019-06-21,Toddler Read and Rhyme,Helping everyone achieve their full potential,Increased reading and literacy,16,8,8,0.0
Barnet,Golders Green,2019-06-21,Advice/Surgery,Helping everyone achieve their full potential,Stronger more resilient communities,1,1,0,0.0
Barnet,Hendon,2019-06-21,Other Child 5+ - Games Hour,Healthier and happier lives,Stronger more resilient communities,9,2,7,0.0
Barnet,Hendon,2019-06-21,Class Visits Primary,Increased reading and literacy,Stronger more resilient communities,22,2,20,0.0
Barnet,Hendon,2019-06-21,IT,Increased digital access and literacy,Stronger more resilient communities,7,7,0,0.0
Barnet,Colindale,2019-06-22,Lego,Healthier and happier lives,,7,3,4,0.0
Barnet,Colindale,2019-06-22,Advice/Surgery,Helping everyone achieve their full potential,Stronger more resilient communities,3,3,0,0.0
Barnet,Hendon,2019-06-22,Other adult - Piano workshop for Adults and Children,Healthier and happier lives,Stronger more resilient communities,13,8,5,0.0
Barnet,Mill Hill,2019-06-22,IT,Increased digital access and literacy,Stronger more resilient communities,2,2,0,0.0
Barnet,North Finchley,2019-06-22,Lego,Healthier and happier lives,,9,4,5,0.0
Barnet,South Friern,2019-06-22,Knit & Natter/Crafts/Sewing,Healthier and happier lives,,3,0,3,0.0
Barnet,Burnt Oak,2019-06-24,Coffee morning/Afternoon tea,Healthier and happier lives,Stronger more resilient communities,12,12,0,0.0
Barnet,Burnt Oak,2019-06-24,Conversation Café/Language Session,Healthier and happier lives,Stronger more resilient communities,5,5,0,0.0
Barnet,Chipping Barnet,2019-06-24,Baby Bounce and Play,Healthier and happier lives,Stronger more resilient communities,36,18,18,3.5
Barnet,Chipping Barnet,2019-06-24,Creative Play,Cultural and creative enrichment,Stronger more resilient communities,32,16,16,5.5
Barnet,East Finchley,2019-06-24,Toddler Read and Rhyme,Helping everyone achieve their full potential,Increased reading and literacy,24,12,12,0.0
Barnet,East Finchley,2019-06-24,Baby Rhyme Time,Healthier and happier lives,Stronger more resilient communities,4,2,2,0.0
Barnet,Finchley Church End,2019-06-24,Reading Group Teen,Healthier and happier lives,Stronger more resilient communities,15,0,15,0.0
Barnet,Finchley Church End,2019-06-24,IT,Increased digital access and literacy,Stronger more resilient communities,2,2,0,0.0
Barnet,Finchley Church End,2019-06-24,Other adult - Words with Music Improv Workshop,Cultural and creative enrichment,Healthier and happier lives,4,4,0,0.0
Barnet,Burnt Oak,2019-06-25,Reading Group Adult,Healthier and happier lives,Stronger more resilient communities,11,11,0,0.0
Barnet,Childs Hill,2019-06-25,IT,Increased digital access and literacy,Stronger more resilient communities,5,5,0,0.0
Barnet,Childs Hill,2019-06-25,Other Child 5+ - Gardening for Children,Healthier and happier lives,Stronger more resilient communities,12,5,7,0.0
Barnet,Chipping Barnet,2019-06-25,Baby Rhyme Time,Healthier and happier lives,Stronger more resilient communities,19,9,10,0.0
Barnet,Colindale,2019-06-25,Advice/Surgery,Helping everyone achieve their full potential,Stronger more resilient communities,7,7,0,0.0
Barnet,Colindale,2019-06-25,IT,Increased digital access and literacy,Stronger more resilient communities,7,7,0,0.0
